time,inlet,outlet,drop
0.192,29.9712,0.0,29.9712
0.1925,29.9612,0.0,29.9612
0.193,29.9513,0.0,29.9513
0.1935,29.9415,0.0,29.9415
0.194,29.9317,0.0,29.9317
0.1945,29.9221,0.0,29.9221
0.195,29.9125,0.0,29.9125
0.1955,29.903,0.0,29.903
0.196,29.8935,0.0,29.8935
0.1965,29.8841,0.0,29.8841
0.197,29.8748,0.0,29.8748
0.1975,29.8656,0.0,29.8656
0.198,29.8564,0.0,29.8564
0.1985,29.8473,0.0,29.8473
0.199,29.8383,0.0,29.8383
0.1995,29.8293,0.0,29.8293
0.2,29.8204,0.0,29.8204
0.2005,29.8116,0.0,29.8116
0.201,29.8028,0.0,29.8028
0.2015,29.7942,0.0,29.7942
0.202,29.7855,0.0,29.7855
0.2025,29.777,0.0,29.777
0.203,29.7685,0.0,29.7685
0.2035,29.76,0.0,29.76
0.204,29.7517,0.0,29.7517
0.2045,29.7434,0.0,29.7434
0.205,29.7351,0.0,29.7351
0.2055,29.727,0.0,29.727
0.206,29.7188,0.0,29.7188
0.2065,29.7108,0.0,29.7108
0.207,29.7028,0.0,29.7028
0.2075,29.6949,0.0,29.6949
0.208,29.687,0.0,29.687
0.2085,29.6792,0.0,29.6792
0.209,29.6714,0.0,29.6714
0.2095,29.6637,0.0,29.6637
0.21,29.6561,0.0,29.6561
0.2105,29.6485,0.0,29.6485
0.211,29.641,0.0,29.641
0.2115,29.6335,0.0,29.6335
0.212,29.6261,0.0,29.6261
0.2125,29.6187,0.0,29.6187
0.213,29.6114,0.0,29.6114
0.2135,29.6042,0.0,29.6042
0.214,29.597,0.0,29.597
0.2145,29.5898,0.0,29.5898
0.215,29.5827,0.0,29.5827
0.2155,29.5757,0.0,29.5757
0.216,29.5687,0.0,29.5687
0.2165,29.5618,0.0,29.5618
0.217,29.5549,0.0,29.5549
0.2175,29.5481,0.0,29.5481
0.218,29.5413,0.0,29.5413
0.2185,29.5346,0.0,29.5346
0.219,29.5279,0.0,29.5279
0.2195,29.5213,0.0,29.5213
0.22,29.5147,0.0,29.5147
0.2205,29.5082,0.0,29.5082
0.221,29.5017,0.0,29.5017
0.2215,29.4953,0.0,29.4953
0.222,29.4889,0.0,29.4889
0.2225,29.4826,0.0,29.4826
0.223,29.4763,0.0,29.4763
0.2235,29.47,0.0,29.47
0.224,29.4638,0.0,29.4638
0.2245,29.4577,0.0,29.4577
0.225,29.4516,0.0,29.4516
0.2255,29.4455,0.0,29.4455
0.226,29.4395,0.0,29.4395
0.2265,29.4336,0.0,29.4336
0.227,29.4276,0.0,29.4276
0.2275,29.4217,0.0,29.4217
0.228,29.4159,0.0,29.4159
0.2285,29.4101,0.0,29.4101
0.229,29.4044,0.0,29.4044
0.2295,29.3987,0.0,29.3987
0.23,29.393,0.0,29.393
0.2305,29.3874,0.0,29.3874
0.231,29.3818,0.0,29.3818
0.2315,29.3762,0.0,29.3762
0.232,29.3707,0.0,29.3707
0.2325,29.3653,0.0,29.3653
0.233,29.3599,0.0,29.3599
