time,Tuintergral,uintergral,Tbulk
0.2865,4752.34,32.1488,147.82324690190615
0.287,4753.15,32.1488,147.8484422435674
0.2875,4753.96,32.1488,147.8736375852287
0.288,4754.76,32.1488,147.8985218732892
0.2885,4755.55,32.1488,147.92309510774896
0.289,4756.34,32.1488,147.94766834220871
0.2895,4757.13,32.1488,147.9722415766685
0.29,4757.91,32.1488,147.99650375752748
0.2905,4758.68,32.1488,148.02045488478575
0.291,4759.46,32.1488,148.04471706564473
0.2915,4760.22,32.1488,148.06835713930224
0.292,4760.98,32.1488,148.0919972129597
0.2925,4761.74,32.1488,148.11563728661721
0.293,4762.49,32.1488,148.13896630667395
0.2935,4763.24,32.1488,148.16229532673069
0.294,4763.98,32.1488,148.18531329318665
0.2945,4764.72,32.1488,148.20833125964268
0.295,4765.45,32.1488,148.23103817249788
0.2955,4766.18,32.1488,148.2537450853531
0.296,4766.9,32.1488,148.27614094460756
0.2965,4767.62,32.1488,148.29853680386202
0.297,4768.34,32.1488,148.3209326631165
0.2975,4769.05,32.1488,148.34301746877023
0.298,4769.75,32.1488,148.36479122082318
0.2985,4770.46,32.1488,148.38687602647687
0.299,4771.15,32.1488,148.40833872492905
0.2995,4771.85,32.1488,148.43011247698203
0.3,4772.53,32.1488,148.45126412183345
0.3005,4773.22,32.1488,148.4727268202857
0.301,4773.9,32.1488,148.4938784651371
0.3015,4774.57,32.1488,148.51471905638778
0.302,4775.25,32.1488,148.53587070123922
0.3025,4775.91,32.1488,148.55640023888915
0.303,4776.58,32.1488,148.57724083013983
0.3035,4777.23,32.1488,148.597459314189
0.304,4777.89,32.1488,148.61798885183896
0.3045,4778.54,32.1488,148.63820733588813
0.305,4779.19,32.1488,148.65842581993726
0.3055,4779.83,32.1488,148.6783332503857
0.306,4780.47,32.1488,148.69824068083412
0.3065,4781.1,32.1488,148.71783705768178
0.307,4781.73,32.1488,148.7374334345294
0.3075,4782.36,32.1488,148.75702981137707
0.308,4782.98,32.1488,148.77631513462399
0.3085,4783.6,32.1488,148.7956004578709
0.309,4784.21,32.1488,148.81457472751703
0.3095,4784.82,32.1488,148.83354899716318
0.31,4785.43,32.1488,148.85252326680933
0.3105,4786.03,32.1488,148.8711864828547
